<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.06	08:00:00	1.07274	1.07361	1.07274	1.07339	528	0	0
2022.06.06	08:15:00	1.07341	1.07353	1.07299	1.07313	412	0	0
2022.06.06	08:30:00	1.07313	1.07350	1.07298	1.07345	342	0	0
2022.06.06	08:45:00	1.07345	1.07348	1.07269	1.07269	404	0	0
2022.06.06	09:00:00	1.07273	1.07277	1.07193	1.07207	494	0	0
2022.06.06	09:15:00	1.07202	1.07232	1.07181	1.07214	452	0	0
2022.06.06	09:30:00	1.07215	1.07337	1.07203	1.07289	666	0	0
2022.06.06	09:45:00	1.07286	1.07289	1.07228	1.07237	559	0	0
2022.06.06	10:00:00	1.07237	1.07384	1.07237	1.07311	1008	0	0
2022.06.06	10:15:00	1.07311	1.07378	1.07307	1.07319	1012	0	0
2022.06.06	10:30:00	1.07319	1.07319	1.07268	1.07271	795	0	0
2022.06.06	10:45:00	1.07271	1.07426	1.07268	1.07419	1137	0	0
2022.06.06	11:00:00	1.07420	1.07512	1.07386	1.07502	1110	0	0
2022.06.06	11:15:00	1.07503	1.07520	1.07416	1.07440	992	0	0
2022.06.06	11:30:00	1.07440	1.07458	1.07414	1.07457	737	0	0
2022.06.06	11:45:00	1.07460	1.07512	1.07438	1.07509	777	0	0
2022.06.06	12:00:00	1.07509	1.07515	1.07458	1.07468	756	0	0
2022.06.06	12:15:00	1.07467	1.07495	1.07437	1.07463	611	0	0
2022.06.06	12:30:00	1.07462	1.07467	1.07392	1.07403	661	0	0
2022.06.06	12:45:00	1.07405	1.07452	1.07391	1.07448	609	0	0
2022.06.06	13:00:00	1.07448	1.07459	1.07383	1.07388	574	0	0
2022.06.06	13:15:00	1.07390	1.07463	1.07387	1.07408	577	0	0
2022.06.06	13:30:00	1.07408	1.07408	1.07251	1.07256	629	0	0
2022.06.06	13:45:00	1.07251	1.07281	1.07241	1.07280	561	0	0
2022.06.06	14:00:00	1.07280	1.07294	1.07252	1.07273	607	0	0
2022.06.06	14:15:00	1.07273	1.07307	1.07244	1.07276	613	0	0
2022.06.06	14:30:00	1.07277	1.07303	1.07255	1.07263	501	0	0
2022.06.06	14:45:00	1.07263	1.07322	1.07240	1.07308	633	0	0
2022.06.06	15:00:00	1.07309	1.07312	1.07240	1.07259	638	0	0
2022.06.06	15:15:00	1.07259	1.07263	1.07158	1.07171	789	0	0
2022.06.06	15:30:00	1.07171	1.07198	1.07156	1.07175	641	0	0
2022.06.06	15:45:00	1.07175	1.07232	1.07175	1.07228	534	0	0
2022.06.06	16:00:00	1.07228	1.07233	1.07178	1.07179	530	0	0
2022.06.06	16:15:00	1.07179	1.07181	1.07092	1.07106	570	0	0
2022.06.06	16:30:00	1.07106	1.07132	1.07086	1.07095	825	0	0
2022.06.06	16:45:00	1.07095	1.07150	1.07054	1.07141	939	0	0
2022.06.06	17:00:00	1.07140	1.07210	1.07126	1.07152	914	0	0
2022.06.06	17:15:00	1.07152	1.07152	1.07007	1.07031	1032	0	0
2022.06.06	17:30:00	1.07031	1.07049	1.06919	1.07016	1131	0	0
2022.06.06	17:45:00	1.07019	1.07241	1.07013	1.07179	1262	0	0
2022.06.06	18:00:00	1.07178	1.07214	1.06993	1.07006	1301	0	0
2022.06.06	18:15:00	1.07006	1.07035	1.06841	1.06856	999	0	0
2022.06.06	18:30:00	1.06855	1.06947	1.06853	1.06946	804	0	0
2022.06.06	18:45:00	1.06946	1.07011	1.06944	1.06973	744	0	0
2022.06.06	19:00:00	1.06971	1.07023	1.06946	1.06964	627	0	0
2022.06.06	19:15:00	1.06971	1.06985	1.06913	1.06913	610	0	0
2022.06.06	19:30:00	1.06914	1.06954	1.06898	1.06945	542	0	0
2022.06.06	19:45:00	1.06946	1.07015	1.06941	1.07007	556	0	0
2022.06.06	20:00:00	1.07008	1.07008	1.06945	1.06968	564	0	0
2022.06.06	20:15:00	1.06967	1.06998	1.06958	1.06981	478	0	0
2022.06.06	20:30:00	1.06981	1.07030	1.06967	1.07004	472	0	0
2022.06.06	20:45:00	1.07004	1.07014	1.06962	1.06987	491	0	0
2022.06.06	21:00:00	1.06987	1.06999	1.06940	1.06958	508	0	0
2022.06.06	21:15:00	1.06958	1.06974	1.06903	1.06923	603	0	0
2022.06.06	21:30:00	1.06922	1.06926	1.06903	1.06918	499	0	0
2022.06.06	21:45:00	1.06917	1.06929	1.06882	1.06908	600	0	0
2022.06.06	22:00:00	1.06905	1.06913	1.06853	1.06909	561	0	0
2022.06.06	22:15:00	1.06908	1.06938	1.06893	1.06929	476	0	0
2022.06.06	22:30:00	1.06929	1.06947	1.06927	1.06947	470	0	0
2022.06.06	22:45:00	1.06947	1.06971	1.06928	1.06956	431	0	0
2022.06.06	23:00:00	1.06956	1.06962	1.06938	1.06957	315	0	0
2022.06.06	23:15:00	1.06957	1.06971	1.06957	1.06962	162	0	0
2022.06.06	23:30:00	1.06962	1.06973	1.06933	1.06945	159	0	0
2022.06.06	23:45:00	1.06945	1.06967	1.06920	1.06962	194	0	0
2022.06.07	00:00:00	1.06944	1.06974	1.06924	1.06942	219	0	1
2022.06.07	00:15:00	1.06942	1.06952	1.06932	1.06941	282	0	0
2022.06.07	00:30:00	1.06941	1.06946	1.06937	1.06941	70	0	3
2022.06.07	00:45:00	1.06941	1.06959	1.06938	1.06944	135	0	0
2022.06.07	01:00:00	1.06953	1.06955	1.06934	1.06935	178	0	0
2022.06.07	01:15:00	1.06935	1.06936	1.06912	1.06918	164	0	0
2022.06.07	01:30:00	1.06916	1.06939	1.06916	1.06937	228	0	0
2022.06.07	01:45:00	1.06938	1.06946	1.06926	1.06944	248	0	0
2022.06.07	02:00:00	1.06947	1.06953	1.06914	1.06925	297	0	0
